,clean,sentiment,polarity
0,say anni list polit group support third trimmest abort demand,-0.699999988079071,-1
1,decline coal start start natur gas took start begin presid george w bush administr,-0.4000000059604645,-1
2,hillary clinton agre john mccain vote give george bush benefit doubt iran,0.20000000298023224,0
3,health care reform legis like mandat free sex chang surgery,0.20000000298023224,0
4,econom turnaround start end term,0.10000000149011612,0
5,chicago bear start quarterback last year total number tenure uw faculty fire last two dead,0.0,0
6,jim dunam live district repres year,0.10000000149011612,0
7,person stage work activ last year pass along rus feingold toughest ethic reform sinc water,0.0,0
8,howe took million oregon lottery fund port newport event land new nova marin oper center pacify,0.5,1
9,say gop primary ippon glenn gaothan joe leibham cast compromis vote cost million higher elect cost,0.30000001192092896,1
10,first time histori share nation popular vote margin smaller latino vote margin,0.30000001192092896,1
11,sinc near million american slip middle class poverty,0.0,0
12,mitt romney governor massachusetts didn slow rate growth govern actual cut,0.20000000298023224,0
13,economi bled billion due govern shutdown,-0.4000000059604645,-1
14,afford care act already sens wait otherwise suspend,-0.30000001192092896,-1
15,last elect novel percent american peopl chose vote percent young peopl percent low incom worker chose vote,-0.20000000298023224,0
16,mccain oppos requir govern buy american made motorcycle said buy american proves quot disgrace,-0.8999999761581421,-1
17,u rep ron kind wi fellow democrat went spend spree credit card max,0.0,0
18,water rate manila philippic rais percent subsidiary world bank became partial owner,0.0,0
19,almost peopl left puerto rico last year,0.0,0
20,woman men make le adjust inflate john kitab first elect governor,0.20000000298023224,0
21,unit state highest torpor tax rate free world,0.30000001192092896,1
22,best year auto industry america histori,0.800000011920929,1
23,say scott walker favor cut famili child health care,0.5,1
24,say mitt romney want get rid plan parenthood,0.0,0
25,dont know jonathan grubber,0.0,0
26,hate crime american muslim mosque trial pari san bernardino,-0.20000000298023224,0
27,rick peri never lost elect remain person text governorship three time landslide elect,0.30000001192092896,1
28,isi support tweet shoot began chattanooga tenn,0.0,0
29,youth unemploy minor community percent,0.0,0
30,say paul ryan still vendors trump,0.5,1
31,look state right work constant budget deficit good busi climat,0.699999988079071,1
32,obama administr go come next sever month your even go abl burn coal limit exist plant,-0.10000000149011612,0
33,cut busi tax today percent busi dont pay busi tax,-0.30000001192092896,-1
34,say mark prior vote obama percent time,-0.30000001192092896,-1
35,feder govern think author regul toilet seat,-0.10000000149011612,0
36,austin citi basic doubl size every year sinc found,0.0,0
37,nuclear test conduct nation time earth th nuclear test five german member u n secur council conduct percent total nuclear test,0.0,0
38,case catastrophe event atlanta area offic center diseas control prevent self destruct,-0.800000011920929,-1
39,presid george w bush ad trillion debt presid obama weve ad trillion debt,0.0,0
40,say u supreme court justic suggest u case decid base south african law,0.4000000059604645,1
41,say marco rubio skip defens vote includ one arm turd fight isi,-0.4000000059604645,-1
42,rep david chillin respons feder loan guarantee solyndra fail solar company,0.4000000059604645,1
43,say ohio budget item later sign law gov john kasih requir woman seek abort undergo mandatory vain probe,-0.6000000238418579,-1
44,director homeland secur use use term terrorist attack instead substitute man made disas,0.0,0
45,african american youth unemploy percent hispana youth unemploy percent,0.0,0
46,obamacare provid insur non u resid even iller,-0.4000000059604645,-1
47,presid barack obama took exact none deficit reduce commits idea one,-0.10000000149011612,0
48,barack obama hillary clinton chang rule engag probably cost capt human khan life,0.0,0
49,hillary clinton co sponsor legis would jail flag burner,0.4000000059604645,1
50,say paperback edit mitt romney book delete line massachusetts individu mandat model country,-0.5,-1
51,magi hassan rais tuition make highest america,0.6000000238418579,1
52,say terri mcauliff person invent scheme rent lincoln bedroom,0.20000000298023224,0
53,creat new job cut unemploy rate almost half today new york state privat sector job ever histori,0.30000001192092896,1
54,town west text water truck water,0.0,0
55,georgia woman earn cent every dollar earn men,0.4000000059604645,1
56,feder system verify employe author work u incur anywhere percent way excess percent time,-0.800000011920929,-1
57,go build wall ago long ago like couldnt get environment impact statement,0.0,0
58,sen obama campaign announc choos cabinet,-0.30000001192092896,-1
59,percent latino text resist vote percent actual turn,0.0,0
60,percent public high school country offer pe class,0.10000000149011612,0
61,said republican candid actual turn around govern economi,0.0,0
62,military recruit harvard elena kagan took posit supreme court rule unani wrong,0.20000000298023224,0
63,public school teacher text non teacher public school,-0.30000001192092896,-1
64,mayor chillin provid sanctuary citi,0.800000011920929,1
65,transcend individu u chanc murder,0.0,0
66,bain capit help start early childhood learn company call bright horizon first ladi michelle obama right praise,0.800000011920929,1
67,say man rush stage dayton ohio chatter isi isi social medium post,0.0,0
68,u rep phil gingery gave govern power electron spi american without warrant,0.20000000298023224,0
69,alex sink funnel three quarter million dollar bid contract bank america,0.0,0
70,take popul growth virginia net zero job creation sinc bob mcconnell became governor,-0.699999988079071,-1
71,obama home valu florida collapse construct job lost state high foreclosure rate,-0.6000000238418579,-1
72,new arizona immigra law say polic offic stop anyone appear reason suspect undock person,-0.20000000298023224,0
73,time histori debt higher end world war ii,0.30000001192092896,1
74,cost health care singl biggest factor drive feder budget deficit,0.0,0
75,recess consum native servers begun save save rate percent,0.0,0
76,whether u supreme court nomine forthcom confirm hear,0.6000000238418579,1
77,say one three u homeless men veteran,0.0,0
78,say charlie crist support cut medical advantage program,0.10000000149011612,0
79,think accept chines today larger wind power solar panel photovoltaic manufactur euro put togeth forget unit state,0.10000000149011612,0
80,say scott brown co sponsor legis let employ deny woman coverage birth control,0.10000000149011612,0
81,point life woman use birth control,0.30000001192092896,1
82,past year egypt made great stride polit democrat reform,0.5,1
83,amount attent paid week chris christi make coverage bengali pale significa,0.20000000298023224,0
84,say u rep steve sutherland vote keep shutdown go,0.30000001192092896,1
85,rick peri text import nurse country,0.30000001192092896,1
86,feder crimini law say crime transport denture across state line,0.10000000149011612,0
87,built new prison every day keep mass scarcer expos nonoil offend,0.4000000059604645,1
88,sen mccain tax plan provid virtual noth middle class,-0.20000000298023224,0
89,austin burden fastest grow tax increas major citi nation,0.6000000238418579,1
90,phoenix arizona kidnap capit world,-0.699999988079071,-1
91,belong afl cio,0.30000001192092896,1
92,insur commission cant squat health care,-0.4000000059604645,-1
93,say poll found republican candid could beat barack obama text eight point,0.10000000149011612,0
94,presid ronald reagan sent troop conflict one circuit grenade peacekeeper set lebanon,0.5,1
95,say david jolly support privat social secur,0.800000011920929,1
96,know u popul growth lowest sinc great depress,0.30000001192092896,1
97,averag student florida actual pay pocket major univers tuition much le spend cellphone,0.4000000059604645,1
98,sinc american die gunfire die war country histori,0.30000001192092896,1
99,foreclosure tax would take effect could mean high tax bill face foreclosure million famili modify mortgage short sale lender,0.10000000149011612,0
100,florida depart agriculture websit freshfromflorida com use get permit carry load hidden gun without ever leav hous,0.20000000298023224,0
101,atlanta streetcar expect creat job construct total job next year,0.6000000238418579,1
102,rais minimum wage hour would help lift million american poverty,-0.20000000298023224,0
103,say secretary state john kerry sent flew manapua met communist dictat daniel omega accus reagan administr engag terror,0.0,0
104,nato open major terror divis im sure im go get credit larg say critic nato,0.0,0
105,sen obama alway percent prochoice rate,0.0,0
106,sinc gina raymond took offic invest fee state pension portfolio gone million annual million,-0.10000000149011612,0
107,feder debt grow billion day,0.10000000149011612,0
108,presid barack obama job bill state would longer lay teacher firefight polic offic,0.0,0
109,teacher k teacher today year old,0.0,0
110,two third wisconsin receiv unemploy check requir search work due current work search exempt,-0.5,-1
111,presid obama health care reform premium averag plan famili didn go per year gone per year,0.20000000298023224,0
112,ir also investig liber group group progress name ir basic look everybody,-0.10000000149011612,0
113,say obama promis unemploy would never go percent,-0.5,-1
114,economi creat job fastest pace sinc,0.800000011920929,1
115,presid obama decid meet prime minis benjamin netanyahu new york,0.20000000298023224,0
116,major state marri freely still fire love,0.800000011920929,1
117,say oregon rep peter defacto earl blumenau socialist open serv u congress,-0.20000000298023224,0
118,rude giuliani probably underqualified man sinc george bush seek presid,-0.699999988079071,-1
119,half presid governor half sent,0.0,0
120,britain vote leav european union within hour american lost billion k,-0.20000000298023224,0
121,medicaid spend decline percent second decline year,-0.699999988079071,-1
122,say text constable die line duty,0.30000001192092896,1
123,gov rick scott cut cost prepaid college tuition near,0.20000000298023224,0
124,citi columbus would save million year employe contribut guarantee check pension,0.10000000149011612,0
125,florida cfo shut kraken scam refund million joseph victim con man,-0.8999999761581421,-1
126,woman get comput science degre factor plus,0.0,0
127,air forc want taxpayer fund fantasy footbal leagu,0.0,0
