,raw_text,clean,label
0,"Weird Kid Opts To Sit Perfectly Still, Let Universe Decide His Fate After Teacher Instructs Class To Pair Up… ",weird kid opt sit perfect still let univers decid fate teacher instruct class pair,-1
1,Kamala Harris Enters 2020 Race #WhatDoYouThink? ,kamala harri enter race whatdoyouthink,-1
2,Viral Video Sparks National Debate Around Drumming In Public ,viral video spark nation debat around drum public,-1
3,Kamala Harris Assembles Campaign Staff Of Unpaid California Prison Laborers ,kamala harri assembl campaign staff unpaid california prison labor,-1
4,Study Finds Chimpanzees Only Other Animal Capable Of Keeping Lid On Friend’s Affair ,studi find chimpanze anim capabl keep lid friend affair,-1
5,"To see more unmatched reporting, visit ",see unmatch report visit,-1
6,"Your Horoscopes — Week Of January 22, 2019 ",horoscop week januari,-1
7,New Express Transplant List Offers Patients Kidney Or First Available Organ ,new express transplant list offer patient kidney first avail organ,-1
8,Tokyo Portal Outage Delays Millions Of Japanese Warp Commuters ,tokyo portal outag delay million japanes warp commut,-1
9,Area Man Thinks Movie He Saw Should Have Been Nominated ,area man think movi saw nomin,-1
10,Ulta Releases Line Of Shitty Hair Ties To Give Cheap-Ass Friend Who’s Always Borrowing Them ,ulta releas line shitti hair tie give cheap as friend alway borrow,-1
11,Report: Tiger That Mauled Roy Horn Still Struggling To Find Work ,report tiger maul roy horn still struggl find work,-1
12,Detective Not Sure He Was Close Enough To Partner To Endlessly Pursue Killer ,detect sure close enough partner endless pursu killer,-1
13,National News Highlights ,nation news highlight,-1
14,Closing Of State Aviary Facilities Puts Hundreds Of Mentally Ill Birds On The Streets ,close state aviari facil put hundr mental ill bird street,-1
15,Woman Happy To Have Such Good Takeout Places She Can Call When Feeling Low ,woman happi good takeout place call feel low,-1
16,"For more exemplary journalism, visit ",exemplari journal visit,-1
17,Foster Home Gets New Shipment ,foster home get new shipment,-1
18,Guidebook Writer Stumbles Upon New England Town Too Quaint For Human Eyes ,guidebook writer stumbl upon new england town quaint human eye,-1
19,5 Things To Know About Julian Castro ,thing know julian castro,-1
20,E.P.T. Clarifies Pregnancy Tests Intended For Entertainment Purposes Only ,e p clarifi pregnanc test intend entertain purpos,-1
21,Whale Won’t Shut Up About Time It Was Beached ,whale shut time beach,-1
22,Trump Approval Plunges Amidst Shutdown #WhatDoYouThink? ,trump approv plung amidst shutdown whatdoyouthink,-1
23,Man Beginning To Worry That Best Meals Already Behind Him ,man begin worri best meal alreadi behind,-1
24,Queen Elizabeth Watches As Oxen Pull Apart Farmer Who Failed To Provide Yearly Tithe Of Grain… ,queen elizabeth watch ox pull apart farmer fail provid year tith grain,-1
25,Dan Savage Disgusted By Letter From Perverted Reader Contemplating Oral Sex ,dan savag disgust letter pervert reader contempl oral sex,-1
26,Doctor Weirded Out By Patient She Just Met Providing Every Lurid Detail Of Medical History ,doctor weird patient met provid everi lurid detail medic histori,-1
27,"The Week In Pictures – Week Of January 21, 2019 ",week pictur week januari,-1
28,Orlando Locals Fear Town Starting To Become Overrun By Tourists ,orlando local fear town start becom overrun tourist,-1
29,Nation Celebrates MLK Day #WhatDoYouThink? ,nation celebr mlk day whatdoyouthink,-1
30,Snowstorm In Chicago Delays Hundreds Of Morning Murders ,snowstorm chicago delay hundr morn murder,-1
31,Body Given False Hope With First Piece Of Fruit In 9 Days ,bodi given fals hope first piec fruit day,-1
32,Sudden Burst Of Confidence Not Sure Where The Hell It Came From Either ,sudden burst confid sure hell came either,-1
33,Group Of Hunky Cardinals Appeal To Pope To Relax Celibacy Requirement ,group hunki cardin appeal pope relax celibaci requir,-1
34,Presumptuous Congressional Freshman Thinks She Can Just Come In And Represent Constituents ,presumptu congression freshman think come repres constitu,-1
35,Man Knows He Must Ride Unexpected Urge To Clean As Far As It Will Take Him ,man know must ride unexpect urg clean far take,-1
36,Fox News Debuts Premium Channel For 24-Hour Coverage Of Alexandria Ocasio-Cortez ,fox news debut premium channel hour coverag alexandria ocasio cortez,-1
37,Mom Keeps Sending Newspaper Clippings About Former Classmates Who Have Been Murdered ,mom keep send newspap clip former classmat murder,-1
38,Furloughed Government Employee Using Time Off To Visit Local Food Pantry She Been Hearing About… ,furlough govern employe use time visit local food pantri hear,-1
39,God Admits Humans Not Most Impressive Creation ,god admit human impress creation,-1
40,Lincoln Memorial Empty After Former President’s Statue Furloughed ,lincoln memori empti former presid statu furlough,-1
41,Neighbors Come Together To Watch BMW Owner Struggle In Snow ,neighbor come togeth watch bmw owner struggl snow,-1
42,This Weekend's Onion Magazine: ,weekend onion magazin,-1
43,Poll Shows Increasing Number Of Voters Blame Founding Fathers For Starting America ,poll show increas number voter blame found father start america,-1
44,Four Homeless People Dead In What Girlfriend Refers To As 'Cuddle Weather' ,four homeless peopl dead girlfriend refer cuddl weather,-1
45,"Fed-Up EU Rejects United Kingdom, Gives British 30 Days To Vacate Europe ",fed eu reject unit kingdom give british day vacat europ,-1
46,Man Taking Phone Out Of Case For First Time In Years Struck By Forgotten Beauty ,man take phone case first time year struck forgotten beauti,-1
47,Chuck Schumer Honestly Pretty Amazed He Hasn’t Caved Yet ,chuck schumer honest pretti amaz cave yet,-1
48,Grounded Plane Makes Snow Angel On Tarmac ,ground plane make snow angel tarmac,-1
49,‘Game Of Thrones’ Fans Excited To Hear Series Will Finally Be Over ,game throne fan excit hear seri final,-1
50,Polar Vortex Splits Into U.S.-Chilling Rings #WhatDoYouThink? ,polar vortex split u chill ring whatdoyouthink,-1
51,Furloughed Federal Employee Starts Online Search For New Government ,furlough feder employe start onlin search new govern,-1
52,Report: Authorities Recommend The Film ‘You've Got Mail’ For Those Snowed In Today ,report author recommend film got mail snow today,-1
53,"New Study Finds Staring Out From Balcony With Best Friends Strongest Indicator That This Your City, Your Time… ",new studi find stare balconi best friend strongest indic citi time,-1
54,Rescue Chip Sent In To Save Broken Tostito Submerged In 7-Layer Dip ,rescu chip sent save broken tostito submerg layer dip,-1
55,"For more world-renowned reportage, visit ",world renown reportag visit,-1
56,Wedding Guest Blissfully Unaware She Barely Made The Cut ,wed guest bliss unawar bare made cut,-1
57,5 Things To Know About Kirsten Gillibrand ,thing know kirsten gillibrand,-1
58,Anne Geddes Starting To Lose It ,ann gedd start lose,-1
59,Michael Cohen Says He Paid To Rig Polls In Trump’s Favor #WhatDoYouThink? ,michael cohen say paid rig poll trump favor whatdoyouthink,-1
60,Trump Dismisses Trump As A Distraction ,trump dismiss trump distract,-1
61,Should The Oakland A’s Have Sent Brad Pitt To Persuade Kyler Murray? ,oakland sent brad pitt persuad kyler murray,-1
62,Trump Postpones Grand Opening Of Trump Tower Moscow Until Fuss Over Bombshell Report Dies Down… ,trump postpon grand open trump tower moscow fuss bombshel report dy,-1
63,‘If This Report Is True’ To Be Repeated 5.7 Billion Times Today ,report true repeat billion time today,-1
64,Defiant Pelosi Begins Swimming To Afghanistan After Trump Denies Use Of Government Plane ,defiant pelosi begin swim afghanistan trump deni use govern plane,-1
65,Patriots Score 2 Touchdowns Against Chiefs In Preemptive Strike Before AFC Championship Game ,patriot score touchdown chief preemptiv strike afc championship game,-1
66,ICE Launches Campaign To Reunite Immigrant Children With Arresting Officer ,ice launch campaign reunit immigr child arrest offic,-1
67,"ISS Astronaut Sick Of Sharing Confined Space With Crass, Disgusting Partner From Polaris 8 ",i astronaut sick share confin space crass disgust partner polari,-1
68,Tom Brady Feeling Guilty After Gorging Self On Full Order Of Kansas-City-Style Tap Water ,tom bradi feel guilti gorg self full order kansa citi style tap water,-1
69,Fans Shocked After Marie Kondo Reveals She Has Been Dating Untidy Cupboard For Past 6 Months ,fan shock mari kondo reveal date untidi cupboard past month,-1
70,Yahoo! Turns 25 ,yahoo turn,-1
71,Woman Didn’t Know Progress On Toxic Masculinity Would Turn Boyfriend Into Such A Weepy Little Pansy… ,woman know progress toxic masculin would turn boyfriend weepi littl pansi,-1
72,"University With 20,000 Applicants To Choose From Somehow Goes With Caitlin ",univers applic choos somehow go caitlin,-1
73,Film Character Moves Into Beautiful Brooklyn Brownstone After Getting Dream Publishing Job ,film charact move beauti brooklyn brownston get dream publish job,-1
74,New Employee Has Never Known Decadent Pleasures Of Old Office ,new employe never known decad pleasur old offic,-1
75,Insurance Only Covers Generic Heart Transplant ,insur cover generic heart transplant,-1
76,Report: Biggest Parenting Fear Remains Losing Child In High-Stakes Poker Tournament ,report biggest parent fear remain lose child high stake poker tournament,-1
77,"Judi Dench, Jack Nicholson, Jeremy Irons, Meryl Streep Fondly Recall Getting Start As Part Of 1993 Mouseketeer Clas… ",judi dench jack nicholson jeremi iron meryl streep fond recal get start part mouseket clas,-1
78,"Christ, the fucking gall, thinking she can just represent the beliefs and desires of the people who elected her. ",christ fuck gall think repres belief desir peopl elect,-1
79,Aspen Police Continue Search For Missing Ski ,aspen polic continu search miss ski,-1
80,Visit to see more from the standard bearer of global journalism. ,visit see standard bearer global journal,-1
