,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,clean,sentiment_vector,vader_polarity,sentiment_score
5,12465.json,true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0.0,3.0,2.0,5.0,1.0,a an online opinion-piece,chicago bear start quarterback last year total number tenure uw faculty fire last two dead,"[0.335, 0.6, 0.065, -0.7506]",0,-0.7506
51,13210.json,barely-true,"Maggie Hassan raised tuition, making it the highest in America.",education,national-republican-senatorial-committee,0,0,republican,11.0,5.0,7.0,2.0,5.0,an ad,magi hassan rais tuition make highest america,"[0.0, 1.0, 0.0, 0.0]",0,0.0
97,7599.json,mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education,will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,a Board of Governors meeting,averag student florida actual pay pocket major univers tuition much le spend cellphone,"[0.104, 0.896, 0.0, -0.1027]",0,-0.1027
123,9500.json,mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",education,republican-party-florida,0,0,republican,10.0,6.0,6.0,6.0,4.0,a TV ad,gov rick scott cut cost prepaid college tuition near,"[0.208, 0.792, 0.0, -0.2732]",0,-0.2732
280,12497.json,true,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a radio interview,sinc college tuition nationwide gone cometh like four time rate inflate,"[0.0, 0.8, 0.2, 0.3612]",0,0.3612
282,4893.json,mostly-true,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",education,thomas-brown,0,Georgia,democrat,0.0,0.0,0.0,1.0,0.0,an interview,deal school construct project alway came budget,"[0.0, 1.0, 0.0, 0.0]",0,0.0
299,1665.json,mostly-true,"The proposed education changes ""will not cut one teacher's pay.""",education,florida-chamber-commerce,0,Florida,none,0.0,1.0,1.0,2.0,1.0,a television advertisement.,propos educ chang cut one teacher pay,"[0.412, 0.588, 0.0, -0.3612]",0,-0.3612
342,4332.json,half-true,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,education,chip-rogers,State Senator,Georgia,republican,1.0,0.0,1.0,1.0,0.0,a town hall meeting,recent intern report show unit state near bottom among industry nation k academy achiev,"[0.0, 1.0, 0.0, 0.0]",0,0.0
355,1616.json,half-true,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",education,bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,an e-mail,last week text state board educ shoe led rick peri appointed vote remov thomas jefferson social study textbook standard that right thomas jefferson delete list histor figure inspire polit chang,"[0.0, 0.887, 0.113, 0.5719]",0,0.5719
380,10931.json,half-true,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",education,dale-kooyenga,State Representative,Wisconsin,republican,1.0,1.0,2.0,2.0,0.0,0,sinc republican took elect graduate rate wisconsin gone percent percent black graduate rate gone percent percent latino graduate rate gone percent percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
