,Unnamed: 0,label_norm,speaker,headline_text,subject,stateinfo,partyaffiliation,barelytruecounts_norm,falsecounts_norm,halftruecounts_norm,mostlytrueocunts_norm,pantsonfirecounts_norm,twitter_handle,followers_norm,tweets_norm,clean,sentiment_vector,vader_polarity,sentiment_score,index,topic_number,lda_score,topic_top_words,cred_vector,label_bin
0,0,-1.4068599484645308,dwayne-bohac,Says the Annies List political group supports third-trimester abortions on demand.,abortion,Texas,republican,-0.8051758283640578,-0.6770388110921243,-0.6434341958497943,-0.6115940925869354,-0.5252351519486811,dwayne_bohac,-0.4478236384696593,-0.714299885242439,say anni list polit group support third trimmest abort demand,"[0.123, 0.656, 0.221, 0.296]",0,0.29600000000000004,0,1,0.5499885678291321,support obama american never would trump educ creat obamacare candid,[-0.71429989 -1.40685995  0.296       0.54998857],2
1,1,0.055524101134036455,scott-surovell,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",Virginia,democrat,-0.8051758283640578,-0.7105870217294856,-0.621310789344505,-0.5897777836184335,-0.5252351519486811,ssurovell,-0.4477020267746138,-0.15379478352627304,decline coal start start natur gas took start begin presid george w bush administr,"[0.0, 1.0, 0.0, 0.0]",0,0.0,1,2,0.3666633367538452,administr year govern peopl time obama offic nation last said,[-0.15379478  0.0555241   0.          0.36666334],4
2,2,0.6404777209734632,barack-obama,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,Illinois,democrat,2.2133963707978466,1.6713359335231688,2.896310844996488,2.944464269278895,0.14750343607264618,BarackObama,2.908789232926601,0.33043285322761273,hillary clinton agre john mccain vote give george bush benefit doubt iran,"[0.161, 0.645, 0.194, 0.128]",0,0.128,2,8,0.5499842166900635,vote world take year time state candid spend republican fund,[0.33043285 0.64047772 0.128      0.54998422],5
3,3,0.055524101134036455,barack-obama,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,Illinois,democrat,2.2133963707978466,1.6713359335231688,2.896310844996488,2.944464269278895,0.14750343607264618,BarackObama,2.908789232926601,0.33043285322761273,person stage work activ last year pass along rus feingold toughest ethic reform sinc water,"[0.085, 0.915, 0.0, -0.0772]",0,-0.0772,3,5,0.8199776411056519,year state last highest american percent citi rate school budget,[ 0.33043285  0.0555241  -0.0772      0.81997764],4
4,4,0.6404777209734632,duey-stroebel,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",Wisconsin,republican,-0.8051758283640578,-0.7105870217294856,-0.6434341958497943,-0.5897777836184335,-0.5252351519486811,SenStroebel,-0.4478465375248512,-0.7168400482050269,say gop primary ippon glenn gaothan joe leibham cast compromis vote cost million higher elect cost,"[0.0, 1.0, 0.0, 0.0]",0,0.0,4,6,0.6664956212043762,health care plan fund immigra american cost govern feder peopl,[-0.71684005  0.64047772  0.          0.66649562],5
5,5,0.6404777209734632,robert-menendez,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections,New Jersey,democrat,-0.7620533683760305,-0.6099423898174016,-0.621310789344505,-0.5461451656814293,-0.5252351519486811,SenatorMenendez ‏,-0.4428187083693491,-0.06343755814279166,first time histori share nation popular vote margin smaller latino vote margin,"[0.0, 0.667, 0.333, 0.6124]",0,0.6124,5,8,0.6386333107948303,vote world take year time state candid spend republican fund,[-0.06343756  0.64047772  0.6124      0.63863331],5
6,6,0.055524101134036455,bernie-s,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty",Vermont,independent,-0.028971548579568043,-0.3080084940811497,-0.15671925273343046,0.28287457512164776,-0.5252351519486811,SenSanders,-0.18433354079237568,0.6574606906396345,sinc near million american slip middle class poverty,"[0.32, 0.68, 0.0, -0.5106]",0,-0.5106,6,7,0.7749611735343933,million bill democrat republican sinc would feder first state time,[ 0.65746069  0.0555241  -0.5106      0.77496117],4
7,7,-1.4068599484645308,mitt-romney,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",Massachusetts,republican,0.6609878112288673,0.3629557186660769,0.6397233814569832,0.10834410337363154,0.8949907560963432,MittRomney,-0.3853774721618848,-0.6726412126559986,mitt romney governor massachusetts didn slow rate growth govern actual cut,"[0.153, 0.657, 0.19, 0.128]",0,0.128,7,5,0.4389834403991699,year state last highest american percent citi rate school budget,[-0.67264121 -1.40685995  0.128       0.43898344],2
8,8,-0.2369527087856769,george-will,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care,Maryland,columnist,-0.5033186084478674,-0.5092977579053176,-0.5770639763339265,-0.5025125477444253,-0.4504864199463114,GeorgeWillRSS,-0.4476708726732823,-0.7443463842856208,afford care act already sens wait otherwise suspend,"[0.2, 0.522, 0.278, 0.2263]",0,0.2263,8,6,0.5499927997589111,health care plan fund immigra american cost govern feder peopl,[-0.74434638 -0.23695271  0.2263      0.5499928 ],3
9,9,0.055524101134036455,bernie-s,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections,Vermont,independent,-0.028971548579568043,-0.3080084940811497,-0.15671925273343046,0.28287457512164776,-0.5252351519486811,SenSanders,-0.18433354079237568,0.6574606906396345,last elect novel percent american peopl chose vote percent young peopl percent low incom worker chose vote,"[0.108, 0.773, 0.119, 0.0516]",0,0.0516,9,0,0.3946928381919861,percent want said republican increas company wisconsin citi plan text,[0.65746069 0.0555241  0.0516     0.39469284],4
