,Unnamed: 0,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,twitter_handle,followers
0,0,2635.json,FALSE,Says the Annies List political group supports third-trimester abortions on demand.,abortion,dwayne-bohac,State representative,Texas,republican,0,1,0,0,0,a mailer,dwayne_bohac,2116.0
1,1,10540.json,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",scott-surovell,State delegate,Virginia,democrat,0,0,1,1,0,a floor speech.,ssurovell,5953.0
2,2,324.json,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,Denver,BarackObama,105967791.0
4,4,9028.json,half-true,The economic turnaround started at the end of my term.,"economy,jobs",charlie-crist,,Florida,democrat,15,9,20,19,2,an interview on CNN,CharlieCrist,31928.0
5,5,12465.json,TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0,3,2,5,1,a an online opinion-piece,repvos,5169.0
7,7,153.json,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Democratic debate in Philadelphia, Pa.",BarackObama,105967790.0
8,8,5602.json,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,oregon-lottery,,,organization,0,0,1,0,1,a website ,oregon_lottery,3529.0
9,9,9741.json,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",duey-stroebel,State representative,Wisconsin,republican,0,0,0,1,0,an online video,SenStroebel,1392.0
12,12,5947.json,FALSE,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview with CBN News,MittRomney,1980960.0
13,13,8616.json,mostly-true,The economy bled $24 billion due to the government shutdown.,"economy,federal-budget,health-care",doonesbury,,,none,0,0,2,4,0,a Doonesbury strip in the Sunday comics,DoonesburyComic,2541.0
16,16,620.json,TRUE,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,a radio ad,BarackObama,105967791.0
22,22,12408.json,mostly-true,We just had the best year for the auto industry in America in history.,economy,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,remarks at a Kentucky rally,HillaryClinton,24462722.0
25,25,10215.json,FALSE,I dont know who (Jonathan Gruber) is.,health-care,nancy-pelosi,House Minority Leader,California,democrat,3,7,11,2,3,a news conference,SpeakerPelosi,2488397.0
26,26,12517.json,mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a speech after a terrorist attack in Orlando,HillaryClinton,24462722.0
27,27,3910.json,half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,ted-nugent,musician,Texas,republican,0,0,2,0,2,an oped column.,TedNugent,361527.0
28,28,11092.json,FALSE,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",pamela-geller,President of American Freedom Defense Intitiative,New York,activist,0,1,1,0,0,a tweet ,PamelaGeller,200769.0
